Time            	S0              	C4              	C3              	C2H4O           	M4              	M5              	M6              	A1              	E1              	C2              	E2              	E3              	B1              	B2              	B3              	M1              	M2              	M3              	CH2O            	A2              
1.2882495517e-12	2.6941385836e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	5.8211611273e-11	1.5318318167e-12	3.8033142263e-21	1.2087343580e-17	2.3322923830e-05	2.5000000000e+00	1.7288073767e-06	3.0202043598e-17	9.9384715959e-01	5.8583741016e-03	5.4873832966e-11	4.2591669507e-17	5.2241828460e-16	1.4328377156e-20	0.0000000000e+00	6.0416525099e-10
1.3182567386e-12	2.6939608700e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	6.0737662746e-11	1.6425800615e-12	4.1728559590e-21	1.2079352573e-17	2.3321243207e-05	2.5000000000e+00	1.7276646858e-06	3.0182069141e-17	9.9378357013e-01	5.9219841332e-03	5.5525035051e-11	4.2628051183e-17	5.3736509430e-16	1.4945892861e-20	0.0000000000e+00	6.2890929164e-10
1.3489628826e-12	2.6937850268e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	6.3355245994e-11	1.7608086763e-12	4.5764993673e-21	1.2071183670e-17	2.3319591268e-05	2.5000000000e+00	1.7264965227e-06	3.0161649244e-17	9.9372062438e-01	5.9849502580e-03	5.6169645198e-11	4.2665248122e-17	5.5264983083e-16	1.5582676227e-20	0.0000000000e+00	6.5452097290e-10
1.3803842646e-12	2.6936111442e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	6.6066881001e-11	1.8869869966e-12	5.0172146907e-21	1.2062833169e-17	2.3317964838e-05	2.5000000000e+00	1.7253023485e-06	3.0140774527e-17	9.9365836400e-01	6.0472308152e-03	5.6807236908e-11	4.2703283317e-17	5.6827988921e-16	1.6239065130e-20	0.0000000000e+00	6.8102394693e-10
1.4125375446e-12	2.6934393204e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	6.8875123553e-11	2.0216114433e-12	5.4982139086e-21	1.2054297289e-17	2.3316362175e-05	2.5000000000e+00	1.7240816140e-06	3.0119435420e-17	9.9359683024e-01	6.1087845429e-03	5.7437387766e-11	4.2742179058e-17	5.8426281654e-16	1.6915398178e-20	0.0000000000e+00	7.0844221164e-10
1.4454397707e-12	2.6932696578e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	7.1782564500e-11	2.1652069353e-12	6.0229688086e-21	1.2045572175e-17	2.3314782492e-05	2.5000000000e+00	1.7228337602e-06	3.0097622163e-17	9.9353606387e-01	6.1695706839e-03	5.8059680522e-11	4.2781957207e-17	6.0060631429e-16	1.7612014886e-20	0.0000000000e+00	7.3680010473e-10
1.4791083882e-12	2.6931022612e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	7.4791829006e-11	2.3183283692e-12	6.5952302554e-21	1.2036653900e-17	2.3313225638e-05	2.5000000000e+00	1.7215582176e-06	3.0075324813e-17	9.9347610500e-01	6.2295490927e-03	5.8673704191e-11	4.2822639426e-17	6.1731824069e-16	1.8329255898e-20	0.0000000000e+00	7.6612229749e-10
1.5135612484e-12	2.6929372359e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	7.7905575774e-11	2.4815621650e-12	7.2190487280e-21	1.2027538465e-17	2.3311691870e-05	2.5000000000e+00	1.7202544062e-06	3.0052533238e-17	9.9341699305e-01	6.2886803454e-03	5.9279055174e-11	4.2864247339e-17	6.3440661310e-16	1.9067463228e-20	0.0000000000e+00	7.9643378862e-10
1.5488166189e-12	2.6927746869e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	8.1126496284e-11	2.6555278840e-12	7.8987961917e-21	1.2018221801e-17	2.3310181705e-05	2.5000000000e+00	1.7189217355e-06	3.0029237119e-17	9.9335876661e-01	6.3469258506e-03	5.9875338396e-11	4.2906802673e-17	6.5187961058e-16	1.9826980539e-20	0.0000000000e+00	8.2775989786e-10
1.5848931925e-12	2.6926147172e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	8.4457314013e-11	2.8408799189e-12	8.6391893786e-21	1.2008699768e-17	2.3308695817e-05	2.5000000000e+00	1.7175596044e-06	3.0005425951e-17	9.9330146330e-01	6.4042479615e-03	6.0462168448e-11	4.2950327359e-17	6.6974557638e-16	2.0608153445e-20	0.0000000000e+00	8.6012625981e-10
