Number	Compound Name       	isSite?
     1	S0                  	1
     2	C4                  	0
     3	C3                  	0
     4	C2H4O               	0
     5	M4                  	1
     6	M5                  	1
     7	M6                  	1
     8	A1                  	1
     9	E1                  	1
    10	C2                  	0
    11	E2                  	1
    12	E3                  	1
    13	B1                  	1
    14	B2                  	1
    15	B3                  	1
    16	M1                  	1
    17	M2                  	1
    18	M3                  	1
    19	CH2O                	0
    20	A2                  	1
