Time            	C4              	C2              	S0              	C2H4O           	E1              	E3              	E2              	CH2O            	A2              	B1              	B2              	B3              	A1              	M1              	M2              	M3              	M4              	M5              	M6              	C3              
1.2882495517e-12	2.5000000000e+00	2.5000000000e+00	3.0464653340e-03	0.0000000000e+00	3.4125178611e-01	1.8700169742e-18	3.6094855866e-05	0.0000000000e+00	5.1221118778e-16	6.5499294570e-01	6.7270799404e-04	7.2249312281e-13	7.3242233490e-19	2.4317918360e-18	1.2829474898e-17	1.7533195792e-23	6.1772792415e-15	2.7088864663e-17	3.5824795589e-28	0.0000000000e+00
1.3182567386e-12	2.5000000000e+00	2.5000000000e+00	3.0194819828e-03	0.0000000000e+00	3.3822922829e-01	1.9086476767e-18	3.6787888603e-05	0.0000000000e+00	5.3708049332e-16	6.5802787166e-01	6.8663017697e-04	7.5355937252e-13	7.4801686215e-19	2.4903375083e-18	1.3515038782e-17	1.8867079289e-23	6.6119162560e-15	2.9712345083e-17	4.0255578970e-28	0.0000000000e+00
1.3489628826e-12	2.5000000000e+00	2.5000000000e+00	2.9921175073e-03	0.0000000000e+00	3.3516397859e-01	1.9478130671e-18	3.7490509128e-05	0.0000000000e+00	5.6312770181e-16	6.6110562608e-01	7.0078732003e-04	7.8586914434e-13	7.6382727304e-19	2.5497220055e-18	1.4233249217e-17	2.0293321135e-23	7.0761945916e-15	3.2585629913e-17	4.5228284537e-28	0.0000000000e+00
1.3803842646e-12	2.5000000000e+00	2.5000000000e+00	2.9643723416e-03	0.0000000000e+00	3.3205608561e-01	1.9875118592e-18	3.8202694096e-05	0.0000000000e+00	5.9040719063e-16	6.6422615839e-01	7.1518096240e-04	8.1946620358e-13	7.7985305068e-19	2.6099449680e-18	1.4985489768e-17	2.1817632262e-23	7.5720628926e-15	3.5732086185e-17	5.0808460829e-28	0.0000000000e+00
1.4125375446e-12	2.5000000000e+00	2.5000000000e+00	2.9362472236e-03	0.0000000000e+00	3.2890563204e-01	2.0277423031e-18	3.8924411835e-05	0.0000000000e+00	6.1897575093e-16	6.6738938381e-01	7.2981251959e-04	8.5439544259e-13	7.9609349118e-19	2.6710054267e-18	1.5773195511e-17	2.3446027735e-23	8.1015918636e-15	3.9177223880e-17	5.7069494259e-28	0.0000000000e+00
1.4454397707e-12	2.5000000000e+00	2.5000000000e+00	2.9077432080e-03	0.0000000000e+00	3.2571273600e-01	2.0685021667e-18	3.9655622005e-05	0.0000000000e+00	6.4889268678e-16	6.7059518190e-01	7.4468327530e-04	8.9070287927e-13	8.1254769600e-19	2.7329017728e-18	1.6597854563e-17	2.5184839447e-23	8.6669813873e-15	4.2948887891e-17	6.4093534792e-28	0.0000000000e+00
1.4791083882e-12	2.5000000000e+00	2.5000000000e+00	2.8788616788e-03	0.0000000000e+00	3.2247755252e-01	2.1097887162e-18	4.0396275257e-05	0.0000000000e+00	6.8021991780e-16	6.7384339515e-01	7.5979437293e-04	9.2843565282e-13	8.2921456429e-19	2.7956317280e-18	1.7461009638e-17	2.7040729097e-23	9.2705680090e-15	4.7077466687e-17	7.1972529444e-28	0.0000000000e+00
1.5135612484e-12	2.5000000000e+00	2.5000000000e+00	2.8496043620e-03	0.0000000000e+00	3.1920027495e-01	2.1515986972e-18	4.1146312887e-05	0.0000000000e+00	7.1302208517e-16	6.7713382757e-01	7.7514680697e-04	9.6764201638e-13	8.4609278509e-19	2.8591923158e-18	1.8364259619e-17	2.9020701427e-23	9.9148328033e-15	5.1596119057e-17	8.0809376087e-28	0.0000000000e+00
1.5488166189e-12	2.5000000000e+00	2.5000000000e+00	2.8199733388e-03	0.0000000000e+00	3.1588113641e-01	2.1939283152e-18	4.1905666490e-05	0.0000000000e+00	7.4736666124e-16	6.8046624317e-01	7.9074141404e-04	1.0083713263e-12	8.6318082961e-19	2.9235798318e-18	1.9309261146e-17	3.1132117684e-23	1.0602409637e-14	5.6541020466e-17	9.0719210988e-28	0.0000000000e+00
1.5848931925e-12	2.5000000000e+00	2.5000000000e+00	2.7899710580e-03	0.0000000000e+00	3.1252041121e-01	2.2367732163e-18	4.2674257613e-05	0.0000000000e+00	7.8332406254e-16	6.8384036461e-01	8.0657886366e-04	1.0506740279e-12	8.8047694330e-19	2.9887898152e-18	2.0297730227e-17	3.3382709319e-23	1.1336093843e-14	6.1951630622e-17	1.0183084575e-27	0.0000000000e+00
