Number	Compound Name       	isSite?
     1	B2                  	1
     2	M6                  	1
     3	B3                  	1
     4	M1                  	1
     5	S0                  	1
     6	M5                  	1
     7	CH2O                	0
     8	A1                  	1
     9	C2H4O               	0
    10	C2                  	0
    11	C4                  	0
    12	A2                  	1
    13	E1                  	1
    14	M4                  	1
    15	C3                  	0
    16	E3                  	1
    17	M2                  	1
    18	E2                  	1
    19	B1                  	1
    20	M3                  	1
