Number	Compound Name       	isSite?
     1	C4                  	0
     2	C2                  	0
     3	S0                  	1
     4	C2H4O               	0
     5	E1                  	1
     6	E3                  	1
     7	E2                  	1
     8	CH2O                	0
     9	A2                  	1
    10	B1                  	1
    11	B2                  	1
    12	B3                  	1
    13	A1                  	1
    14	M1                  	1
    15	M2                  	1
    16	M3                  	1
    17	M4                  	1
    18	M5                  	1
    19	M6                  	1
    20	C3                  	0
