Number	Compound Name       	isSite?
     1	C2                  	0
     2	M5                  	1
     3	A1                  	1
     4	S0                  	1
     5	E2                  	1
     6	E1                  	1
     7	C3                  	0
     8	A2                  	1
     9	C2H4O               	0
    10	CH2O                	0
    11	E3                  	1
    12	M2                  	1
    13	M3                  	1
    14	M4                  	1
    15	B1                  	1
    16	C4                  	0
    17	B2                  	1
    18	B3                  	1
    19	M6                  	1
    20	M1                  	1
