Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
1.2882495517e-12	8.4074506645e+09	6.3386914527e-08	1.8389367710e-08	-4.6864468650e+06	1.1048671200e+07	-8.4184993357e+09	7.8594581320e-21	9.9728725528e-07	2.1721698185e-05	6.2958545913e-07	1.0067378147e-07	5.4286224802e-07	2.6566185705e-13	2.0661024015e-05	8.2424151912e+09	-8.4121371114e+09	1.6972192010e+08	5.8234391473e-02	1.0623078855e-19	6.8333577741e-08
1.3182567386e-12	8.4031088307e+09	6.7859351420e-08	1.8380816140e-08	-4.6840260744e+06	1.1041917663e+07	-8.4141507483e+09	8.5351573729e-21	1.0148253972e-06	2.2655283746e-05	6.4662400573e-07	1.0062427323e-07	5.5990983315e-07	2.8035158688e-13	2.1572598997e-05	8.2395896711e+09	-8.4077928568e+09	1.6820318559e+08	5.9194841987e-02	1.1654555234e-19	6.8333076093e-08
1.3489628826e-12	8.3986681843e+09	7.2637540364e-08	1.8371636259e-08	-4.6815501909e+06	1.1035010528e+07	-8.4097031948e+09	9.2646621343e-21	1.0324994978e-06	2.3626290854e-05	6.6405058558e-07	1.0057169851e-07	5.7735080507e-07	2.9572044259e-13	2.2521153815e-05	8.2366854964e+09	-8.4033497345e+09	1.6666423799e+08	6.0161178606e-02	1.2784447275e-19	6.8327848529e-08
1.3803842646e-12	8.3941265319e+09	7.7741646297e-08	1.8361865861e-08	-4.6790179915e+06	1.1027946390e+07	-8.4051544783e+09	1.0051904231e-20	1.0503032201e-06	2.4636050715e-05	6.8187350274e-07	1.0051622070e-07	5.9519298948e-07	3.1179279221e-13	2.3508005848e-05	8.2337003861e+09	-8.3988055499e+09	1.6510516373e+08	6.1132968461e-02	1.4021977466e-19	6.8318335603e-08
1.4125375446e-12	8.3894816338e+09	8.3193105139e-08	1.8351538885e-08	-4.6764282276e+06	1.1020721773e+07	-8.4005023555e+09	1.0901076569e-20	1.0682298318e-06	2.5685930863e-05	7.0010125266e-07	1.0045798580e-07	6.1344444506e-07	3.2859356891e-13	2.4534507926e-05	8.2306319940e+09	-8.3941580620e+09	1.6352606792e+08	6.2109754116e-02	1.5377215801e-19	6.8304940121e-08
1.4454397707e-12	8.3847312035e+09	8.9014698957e-08	1.8340685454e-08	-4.6737796242e+06	1.1013333127e+07	-8.3957445366e+09	1.1816648730e-20	1.0862721955e-06	2.6777335393e-05	7.1874252493e-07	1.0039712265e-07	6.3211346479e-07	3.4614827090e-13	2.5602048498e-05	8.2274779080e+09	-8.3894049831e+09	1.6192707509e+08	6.3091052998e-02	1.6861155932e-19	6.8288028534e-08
1.4791083882e-12	8.3798729067e+09	9.5230635159e-08	1.8329331969e-08	-4.6710708798e+06	1.1005776831e+07	-8.3908786835e+09	1.2803383381e-20	1.1044227590e-06	2.7911705136e-05	7.3780620592e-07	1.0033374331e-07	6.5120857741e-07	3.6448296070e-13	2.6712051742e-05	8.2242356477e+09	-8.3845439776e+09	1.6030832982e+08	6.4076356841e-02	1.8485797973e-19	6.8267932055e-08
1.5135612484e-12	8.3749043605e+09	1.0186662988e-07	1.8317501354e-08	-4.6683006660e+06	1.0998049186e+07	-8.3859024096e+09	1.3866353529e-20	1.1226735463e-06	2.9090517771e-05	7.5730138074e-07	1.0026794413e-07	6.7073854785e-07	3.8362426374e-13	2.7865977594e-05	8.2209026636e+09	-8.3795726611e+09	1.5866999748e+08	6.5065131149e-02	2.0264238534e-19	6.8244947908e-08
1.5488166189e-12	8.3698231323e+09	1.0894999570e-07	1.8305212729e-08	-4.6654676264e+06	1.0990146418e+07	-8.3808132787e+09	1.5010960675e-20	1.1410161483e-06	3.0315287856e-05	7.7723733769e-07	1.0019980437e-07	6.9071239051e-07	4.0359936345e-13	2.9065321712e-05	8.2174763350e+09	-8.3744885999e+09	1.5701226487e+08	6.6056814686e-02	2.2210768632e-19	6.8219330857e-08
1.5848931925e-12	8.3646267393e+09	1.1650973418e-07	1.8292484419e-08	-4.6625703767e+06	1.0982064674e+07	-8.3756088040e+09	1.6242953866e-20	1.1594417147e-06	3.1587566792e-05	7.9762355802e-07	1.0012939956e-07	7.1113930855e-07	4.2443601047e-13	3.0311615344e-05	8.2139539687e+09	-8.3692893097e+09	1.5533534091e+08	6.7050818997e-02	2.4340979793e-19	6.8191340613e-08
