Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
1.2882495517e-12	2.5000000000e+00	2.0274192335e-20	1.9779808784e-20	2.7223744857e-04	1.4238202830e-05	4.8903380039e-01	0.0000000000e+00	6.7840340273e-19	0.0000000000e+00	0.0000000000e+00	1.1159834042e-19	2.7024425223e-19	9.5278401229e-26	8.9801319998e-18	5.1041641856e-01	2.5000000000e+00	2.6330539562e-04	4.0994069824e-14	2.6939702781e-32	6.5124792867e-20
1.3182567386e-12	2.5000000000e+00	2.2242875138e-20	2.0331494809e-20	2.7209685781e-04	1.4569641035e-05	4.8878125016e-01	0.0000000000e+00	7.0859298513e-19	0.0000000000e+00	0.0000000000e+00	1.1461853966e-19	2.8678980344e-19	1.0346974257e-25	9.6137497420e-18	5.1066370789e-01	2.5000000000e+00	2.6837544971e-04	4.2755970360e-14	3.0280390230e-32	6.7175296314e-20
1.3489628826e-12	2.5000000000e+00	2.4399407961e-20	2.0895758878e-20	2.7195306745e-04	1.4908589694e-05	4.8852295232e-01	0.0000000000e+00	7.4002641307e-19	0.0000000000e+00	0.0000000000e+00	1.1770752045e-19	3.0425025888e-19	1.1231335475e-25	1.0290683897e-17	5.1091666936e-01	2.5000000000e+00	2.7351665432e-04	4.4588494357e-14	3.4030560992e-32	6.9273472643e-20
1.3803842646e-12	2.5000000000e+00	2.6761395788e-20	2.1472868507e-20	2.7180600646e-04	1.5255213982e-05	4.8825877930e-01	0.0000000000e+00	7.7274942563e-19	0.0000000000e+00	0.0000000000e+00	1.2086675475e-19	3.2267174663e-19	1.2185690209e-25	1.1013791267e-17	5.1117543054e-01	2.5000000000e+00	2.7872893945e-04	4.6494154122e-14	3.8239835501e-32	7.1420288860e-20
1.4125375446e-12	2.5000000000e+00	2.9348061621e-20	2.2063097533e-20	2.7165560232e-04	1.5609682472e-05	4.8798860081e-01	0.0000000000e+00	8.0680910495e-19	0.0000000000e+00	0.0000000000e+00	1.2409774843e-19	3.4210259372e-19	1.3215121401e-25	1.1786108713e-17	5.1144012172e-01	2.5000000000e+00	2.8401218152e-04	4.8475530519e-14	4.2963777481e-32	7.3616741306e-20
1.4454397707e-12	2.5000000000e+00	3.2180391893e-20	2.2666726196e-20	2.7150178100e-04	1.5972167189e-05	4.8771228386e-01	0.0000000000e+00	8.4225389324e-19	0.0000000000e+00	0.0000000000e+00	1.2740204179e-19	3.6259342969e-19	1.4325047401e-25	1.2610863812e-17	5.1171087599e-01	2.5000000000e+00	2.8936620139e-04	5.0535273414e-14	4.8264597123e-32	7.5863855897e-20
1.4791083882e-12	2.5000000000e+00	3.5281294592e-20	2.3284041228e-20	2.7134446690e-04	1.6342843671e-05	4.8742969267e-01	0.0000000000e+00	8.7913360839e-19	0.0000000000e+00	0.0000000000e+00	1.3078120999e-19	3.8419729499e-19	1.5521241853e-25	1.3491486067e-17	5.1198782926e-01	2.5000000000e+00	2.9479076230e-04	5.2676102004e-14	5.4211936344e-32	7.8162688358e-20
1.5135612484e-12	2.5000000000e+00	3.8675771173e-20	2.3915335902e-20	2.7118358288e-04	1.6721891029e-05	4.8714068863e-01	0.0000000000e+00	9.1749945793e-19	0.0000000000e+00	0.0000000000e+00	1.3423686342e-19	4.0696975453e-19	1.6809854618e-25	1.4431618726e-17	5.1227112033e-01	2.5000000000e+00	3.0028556784e-04	5.4900805019e-14	6.0883745591e-32	8.0514324354e-20
1.5488166189e-12	2.5000000000e+00	4.2391103534e-20	2.4560910193e-20	2.7101905015e-04	1.7109492005e-05	4.8684513025e-01	0.0000000000e+00	9.5740405127e-19	0.0000000000e+00	0.0000000000e+00	1.3777064852e-19	4.3096901432e-19	1.8197433778e-25	1.5435131211e-17	5.1256089094e-01	2.5000000000e+00	3.0585025995e-04	5.7212240800e-14	6.8367261272e-32	8.2919881163e-20
1.5848931925e-12	2.5000000000e+00	4.6457056635e-20	2.5221070343e-20	2.7085078833e-04	1.7505833034e-05	4.8654287312e-01	0.0000000000e+00	9.9890140970e-19	0.0000000000e+00	0.0000000000e+00	1.4138424588e-19	4.5625605557e-19	1.9690948732e-25	1.6506132220e-17	5.1285728584e-01	2.5000000000e+00	3.1148441691e-04	5.9613337210e-14	7.6760104301e-32	8.5380500492e-20
