Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
1.2882495517e-12	3.7027526432e-03	8.5211914403e-22	1.6715528463e-11	2.8224994439e-17	6.1614873774e-06	1.3839642379e-12	0.0000000000e+00	8.0032951165e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.3150869230e-11	3.6758383685e-06	8.4512462977e-11	0.0000000000e+00	1.9997696350e-17	3.1396055698e-16	6.0419301390e-06	9.9628136799e-01	4.0312820213e-21
1.3182567386e-12	3.7522443022e-03	9.3997196040e-22	1.6975002910e-11	2.8235616422e-17	6.1519181458e-06	1.4874994718e-12	0.0000000000e+00	7.9984000684e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.3653289479e-11	3.6540139116e-06	8.8393059015e-11	0.0000000000e+00	1.9985460922e-17	3.2324095200e-16	6.0382312926e-06	9.9623191141e-01	4.2221513481e-21
1.3489628826e-12	3.8015973893e-03	1.0365527539e-21	1.7233752916e-11	2.8246411131e-17	6.1449421340e-06	1.5982944447e-12	0.0000000000e+00	7.9933924517e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.4172947250e-11	3.6382486420e-06	9.2424282959e-11	0.0000000000e+00	1.9972945371e-17	3.3273170358e-16	6.0344484279e-06	9.9618258485e-01	4.4198344950e-21
1.3803842646e-12	3.8507826916e-03	1.1426956321e-21	1.7491624878e-11	2.8257398623e-17	6.1398722265e-06	1.7168229345e-12	0.0000000000e+00	7.9882702402e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.4710333910e-11	3.6269363487e-06	9.6610670318e-11	0.0000000000e+00	1.9960144325e-17	3.4243742039e-16	6.0305797599e-06	9.9613341979e-01	4.6244817229e-21
1.4125375446e-12	3.8997706109e-03	1.2593112169e-21	1.7748463259e-11	2.8268595832e-17	6.1361919302e-06	1.8435871872e-12	0.0000000000e+00	7.9830312559e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.5265949099e-11	3.6188695858e-06	1.0095683177e-10	0.0000000000e+00	1.9947052109e-17	3.5236280977e-16	6.0266234514e-06	9.9608444757e-01	4.8362437091e-21
1.4454397707e-12	3.9485312112e-03	1.3873933604e-21	1.8004110817e-11	2.8280017190e-17	6.1335163248e-06	1.9791194609e-12	0.0000000000e+00	7.9776731908e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.5840300570e-11	3.6131484094e-06	1.0546745131e-10	0.0000000000e+00	1.9933662782e-17	3.6251267870e-16	6.0225776161e-06	9.9603569941e-01	5.0552714952e-21
1.4791083882e-12	3.9970342696e-03	1.5280264217e-21	1.8258408868e-11	2.8291675154e-17	6.1315610226e-06	2.1239836429e-12	0.0000000000e+00	7.9721936247e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.6433904004e-11	3.6091078311e-06	1.1014728419e-10	0.0000000000e+00	1.9919970165e-17	3.7289193488e-16	6.0184403202e-06	9.9598720647e-01	5.2817164403e-21
1.5135612484e-12	4.0452493301e-03	1.6823931502e-21	1.8511197549e-11	2.8303580636e-17	6.1301178039e-06	2.2787769413e-12	0.0000000000e+00	7.9665900392e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.7047282811e-11	3.6062608770e-06	1.1500115477e-10	0.0000000000e+00	1.9905967870e-17	3.8350558790e-16	6.0142095840e-06	9.9593899993e-01	5.5157301812e-21
1.5488166189e-12	4.0931457604e-03	1.8517832206e-21	1.8762316115e-11	2.8315743365e-17	6.1290356053e-06	2.4441316562e-12	0.0000000000e+00	7.9608598278e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.7680967914e-11	3.6042541530e-06	1.2003395403e-10	0.0000000000e+00	1.9891649313e-17	3.9435875054e-16	6.0098833823e-06	9.9589111091e-01	5.7574646000e-21
1.5848931925e-12	4.1406928121e-03	2.0376024733e-21	1.9011603240e-11	2.8328172181e-17	6.1282058491e-06	2.6207170303e-12	0.0000000000e+00	7.9550003039e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.8335497520e-11	3.6028335598e-06	1.2525063712e-10	0.0000000000e+00	1.9877007729e-17	4.0545664010e-16	6.0054596457e-06	9.9584357052e-01	6.0070717988e-21
