Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
1.2882495517e-12	1.6704730595e+09	2.8233446307e-09	8.7579013198e+00	3.5543321270e-07	-3.7578556547e+05	3.3731021211e+00	3.0956433950e-04	-1.6314562586e-07	1.4835951128e+02	9.8319801296e+05	-1.3591152858e+06	1.6652478700e+01	-8.6003087990e+05	1.2833393046e+02	6.0620167000e-11	-4.0781630152e-07	3.0936572163e-04	-1.2329884041e+05	-1.6691141014e+09	6.3214146193e-09
1.3182567386e-12	1.6283598517e+09	3.0336659478e-09	8.5371877885e+00	3.5266239346e-07	-2.6822267215e+05	3.5279863386e+00	3.0937493507e-04	-1.6310902841e-07	1.5066248975e+02	7.3219896725e+05	-1.0005554689e+06	1.6833303588e+01	-6.0910144158e+05	1.3030119982e+02	6.4932754634e-11	-4.0767704651e-07	3.0917897432e-04	-1.2323135516e+05	-1.6273594555e+09	6.3995301673e-09
1.3489628826e-12	1.5863645161e+09	3.2586393599e-09	8.3170729123e+00	3.5053713918e-07	-1.9072502228e+05	3.6888824896e+00	3.0918119434e-04	-1.6305205709e-07	1.5295903841e+02	5.5146135091e+05	-7.4232231958e+05	1.7012952441e+01	-4.2843763859e+05	1.3225720347e+02	6.9569070446e-11	-4.0750036598e-07	3.0898722699e-04	-1.2315965872e+05	-1.5856223550e+09	6.4756443522e-09
1.3803842646e-12	1.5445119214e+09	3.4992112581e-09	8.0976911371e+00	3.4890427249e-07	-1.3532197430e+05	3.8559715974e+00	3.0898303415e-04	-1.6297943185e-07	1.5524779395e+02	4.2235694265e+05	-5.5781697376e+05	1.7191290896e+01	-2.9941062897e+05	1.3420053145e+02	7.4555734450e-11	-4.0729450796e-07	3.0879055443e-04	-1.2308437049e+05	-1.5439542678e+09	6.5497118427e-09
1.4125375446e-12	1.5028272617e+09	3.7563839194e-09	7.8791778451e+00	3.4764338009e-07	-9.6021609249e+04	4.0294376858e+00	3.0878036665e-04	-1.6289469421e-07	1.5752737587e+02	3.3088192130e+05	-4.2704369005e+05	1.7368182641e+01	-2.0801613492e+05	1.3612975554e+02	7.9921693344e-11	-4.0706564964e-07	3.0858899283e-04	-1.2300594588e+05	-1.5024003835e+09	6.6216905850e-09
1.4454397707e-12	1.4613360163e+09	4.0312184437e-09	7.6616692724e+00	3.4666065705e-07	-6.8357870779e+04	4.2094677044e+00	3.0857309986e-04	-1.6280047421e-07	1.5979638860e+02	2.6659850289e+05	-3.3509862688e+05	1.7543489630e+01	-1.4381604246e+05	1.3804343126e+02	8.5698423957e-11	-4.0681836692e-07	3.0838254668e-04	-1.2292471364e+05	-1.4610010851e+09	6.6915419190e-09
1.4791083882e-12	1.4200639070e+09	4.3248378178e-09	7.4453023942e+00	3.4588368858e-07	-4.9030581571e+04	4.3962514477e+00	3.0836113815e-04	-1.6269870345e-07	1.6205342371e+02	2.2179363574e+05	-2.7096855397e+05	1.7717072307e+01	-9.9097066871e+04	1.3994009995e+02	9.1920153801e-11	-4.0655600897e-07	3.0817119480e-04	-1.2284090553e+05	-1.4197931079e+09	6.7592306920e-09
1.5135612484e-12	1.3790368526e+09	4.6384301145e-09	7.2302147812e+00	3.4525709154e-07	-3.5622892549e+04	4.5899814668e+00	3.0814438262e-04	-1.6259078289e-07	1.6429706233e+02	1.9081866125e+05	-2.2658796238e+05	1.7888789842e+01	-6.8210390207e+04	1.4181829101e+02	9.8624100052e-11	-4.0628099308e-07	3.0795489512e-04	-1.2275467963e+05	-1.3788104362e+09	6.8247253656e-09
1.5488166189e-12	1.3382809212e+09	4.9732518273e-09	7.0165444281e+00	3.4473890323e-07	-2.6380795504e+04	4.7908529740e+00	3.0792273136e-04	-1.6247771423e-07	1.6652587775e+02	1.6957402097e+05	-1.9610328416e+05	1.8058500379e+01	-4.7056350147e+04	1.4367652439e+02	1.0585072843e-10	-4.0599503540e-07	3.0773358877e-04	-1.2266613850e+05	-1.3380849915e+09	6.8879981160e-09
1.5848931925e-12	1.2978222792e+09	5.3306313469e-09	6.8044295559e+00	3.4429762651e-07	-2.0042994418e+04	4.9990637406e+00	3.0769607965e-04	-1.6236020154e-07	1.6873843813e+02	1.5511165521e+05	-1.7530516231e+05	1.8226061297e+01	-3.2686824661e+04	1.4551331309e+02	1.1364403351e-10	-4.0569932933e-07	3.0750720329e-04	-1.2257534323e+05	-1.2976471496e+09	6.9490249260e-09
