   0         0.000000     -1887.558300         0.000000 
   1         0.060148     -1887.487400         0.070900 
   2         0.045438     -1887.474500         0.083800 
   3         0.110107     -1887.375200         0.183100 
   4         0.211300     -1887.194500         0.363800 
   5         0.815364     -1886.430900         1.127400 
   6         0.729902     -1884.264000         3.294300 
   7         0.971573     -1885.308500         2.249800 
   8         0.080358     -1886.040300         1.518000 
   9         0.040605     -1886.102400         1.455900 
